Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
Data Scientist 2,$52K - $95K (Glassdoor est.),"Description
Digital Health and Analytics within Humana is dedicated to transform members’ health experience and Humana’s services using technology and analytics. We are looking for a Data Scientist 2 who will design studies and utilize cutting-edge predictive modeling techniques, test rigorous hypotheses, and turn data and insights into actionable plans. Being part of talented team of data scientists with broad skills and applications, the Data Scientist will work cross-functionally and collaboratively with teams across the enterprise through innovative R&D, machine learning, and cutting-edge platforms. The scope of our work includes forecasting, predictive modeling, designing business experiments, and ROI studies. The ideal candidate will have hands-on experience on healthcare data, demonstrated innovative and creative methods for overcoming testing constraints, as well as successfully applying machine learning techniques to address business needs.
Responsibilities
The Data Scientist 2 develops, maintains, and collects structured and unstructured data sets for analysis and reporting. Creates reports, projections, models, and presentations to support business strategy and tactics. Understands department, segment, and organizational strategy and operating objectives, including their linkages to related areas. Makes decisions regarding own work methods, occasionally in ambiguous situations, and requires minimal direction and receives guidance where needed. Follows established guidelines/procedures.
Responsibilities
Develop and validate statistical forecasting models or predictive models and tools
Research and evaluate innovative analytical methodologies, approaches, and solutions
Collaborate with analytic and data teams to set objectives, approaches, and work plans
Interprets and communicates analytic results to analytical and non-analytical business partners
Understands department, segment, and organizational strategy and operating objectives, including their linkages to related areas
Make decisions regarding own work methods, occasionally in ambiguous situations, and requires minimal direction and receives guidance where needed

Required Qualifications
Master's Degree in a quantitative discipline, such as Computer Science, Mathematics or Statistics and/or related quantitative field
2+ years of experience in advanced data analytics
Demonstrated experience with SAS, SQL, MATLAB, DataRobot, Python or similar statistical and scripting tools
Experience developing and validating statistical forecasting models or predictive models
Experience interpreting and communicating analytic results to analytical and non-analytical business partners
Naturally curious and comfortable with ambiguity and demonstrate critical thinking
Clear and concise oral and written communication skills, with a proven ability to translate complex methodologies and analytical results to non-technical business insights
Strong interpersonal and consulting skills
Preferred Qualifications
PhD in a quantitative discipline, such as Computer Science, Mathematics or Statistics and/or related quantitative field
Healthcare or managed care experience
Experience building large-scale predictive models
Experience in Big Data environment specifically PySpark and/or Databricks
Experience in deep learning, natural language processing, and recommendation systems
Additional Information
This position is based on either Humana’s headquarters in Louisville-KY or Humana’s Studio-H in Boston-MA.
Scheduled Weekly Hours
40",3.9,"Humana
3.9","Louisville, KY","Louisville, KY",10000+ Employees,1961,Company - Public,Insurance Carriers,Insurance,$10+ billion (USD),-1
Data Scientist,$69K - $113K (Glassdoor est.),"Working out of our Chevy Chase, MD/Washington DC office, GEICO’s Data Science team uses predictive analytics and innovative machine learning models to create value from data. We solve problems across GEICO, from Marketing to Claims and Underwriting, and are responsible for developing and driving strategic modeling initiatives. We see our projects through the entire data science lifecycle, from problem definition to data exploration, data munging, modeling, analysis, and deployment into production systems. We maintain a close partnership with IT to ensure that our models can be deployed quickly and monitored in a flexible deployment framework.
As a Data Scientist, you will be a member of this diverse and highly skilled team. On any given day, you may be exploring new data sets with a business or IT partner, learning the intricacies of a business process, building models, or coordinating the productionalization of a model. You will use a variety of tools (including SQL, Python, R, Spark, and shell scripting) in a variety of environments (including various databases, Linux servers, and Hadoop). You’ll work in a highly collaborative, team environment where you will quickly develop wide ranging exposure to new methods and best practices for conducting data science in a commercial environment.
Expected Qualifications:
Bachelor’s degree in a quantitative discipline, such as statistics, data science, computer science, mathematics, engineering, physics, etc. Advanced degree strongly preferred
2+ years’ experience and solid understanding of machine learning techniques. Academic and internship experience may also be considered.
2+ years' experience of combined industry/academic experience with predictive modeling, and advanced analytics
Solid understanding and experience with advanced statistics and modern machine learning predictive techniques such as GLMs, decision trees, forests, boosted ensembles, neural networks, deep learning, etc.
Strong coding skills using common data science tools, such as Python (strongly preferred), R, Linux/Unix command line and shell scripting, etc.
Strong skills in data processing using SQL, Hive, Impala, Spark, or equivalent querying language
Familiarity with distributed storage and big data computing technology (AWS, Hadoop, Spark, etc.)
Excellent communication skills
Passion for extracting hidden insights and building machine learning systems that enhance business outcomes
Note: The safety of our associates, both current and future, is GEICO’s highest priority. At this time, most of our associates are working remotely due to the current COVID-19 pandemic. Candidates who are selected for this position will be trained remotely and must be able to work from home in a designated work area. Once GEICO determines it is safe for associates to return to the office, candidates may be required to work in our Chevy Chase, MD office.
Benefits:
As a Data Scientist, you’ll enjoy our GEICO Total Rewards Program* to help secure your financial future and preserve your health and well-being, including:
Premier Medical, Dental and Vision Insurance with no waiting period**
Paid Vacation, Sick and Parental Leave
401(k) Plan with Profit Sharing
Tuition Reimbursement
Paid Training and Licensures
Benefits may be different by location. Benefit eligibility requirements vary and may include length of service.
**Coverage begins with the pay period after hire date. Must enroll in New Hire Benefits within 30 days of the date of hire for coverage to take effect.
EEO Statement:
The equal employment opportunity policy of the GEICO Companies provides for a fair and equal employment opportunity for all associates and job applicants regardless of race, color, religious creed, national origin, ancestry, age, gender, pregnancy, sexual orientation, gender identity, marital status, familial status, disability or genetic information, in compliance with applicable federal, state and local law. GEICO hires and promotes individuals solely on the basis of their qualifications for the job to be filled.
GEICO reasonably accommodates qualified individuals with disabilities to enable them to receive equal employment opportunity and/or perform the essential functions of the job, unless the accommodation would impose an undue hardship to the Company. This applies to all applicants and associates. GEICO also provides a work environment in which each associate is able to be productive and work to the best of their ability. We do not condone or tolerate an atmosphere of intimidation or harassment. We expect and require the cooperation of all associates in maintaining an atmosphere free from discrimination and harassment with mutual respect by and for all associates and applicants.
#LI-JW1",3.5,"GEICO
3.5","Chevy Chase, MD","Chevy Chase, MD",10000+ Employees,1936,Subsidiary or Business Segment,Insurance Carriers,Insurance,$10+ billion (USD),-1
Data Scientist - HCI,-1,"Data Scientist - HCI
Long Beach, CA
Full-time

About SCAN
As one of the nation’s largest not-for-profit Medicare Advantage plans, serving more than 200,000 members in California, SCAN Health Plan has been a mission-driven organization dedicated to keeping seniors healthy and independent for over 40 years. SCAN employees are passionate about what they do, and understand that success is based on achieving the mission. Employees are afforded with the training and tools necessary to do their jobs and are rewarded for their efforts and recognized as experts in their fields. To learn more, visit scanhealthplan.com or follow us on social media: LinkedIn; Facebook; and Twitter.

The Opportunity
The Data Scientist will support leadership and Healthcare Informatics teams with insights gained from analyzing company and external data to help make smarter decisions and drive better outcomes. You must be adept at using large data sets to find opportunities for quality improvement and process optimization. You must have strong experience using a variety of data mining/data analysis techniques, using a variety of data tools, building and implementing predictive models, using/creating algorithms upon structured and unstructured data. You must have a proven ability to drive business results with their data-driven insights. You must be comfortable working with a wide range of stakeholders and functional teams. The right candidate will have a passion for discovering solutions hidden in large data sets and working with stakeholders to improve business outcomes.

You Will
Work with stakeholders throughout the organization to identify opportunities for leveraging big data to drive business solutions.
Mine and analyze data (both structured and unstructured data) from company databases and external data when needed to drive quality improvement, process optimization and business strategies.
Select features, building and optimizing models using machine learning techniques.
Process, clean, and verify the integrity of data used for analysis.
Develop custom data models and algorithms to apply to data sets.
Use predictive models to increase and optimize intervention targeting, coding accuracy, and other business outcomes.
Do ad-hoc analysis and present results in a clear manner.
Coordinate with different functional teams to implement models and monitor outcomes.
Develop processes and tools to monitor and analyze model performance and data accuracy.

Your Qualifications
Master's Degree or PhD in Statistics, Mathematics, Computer Science, or another quantitative field.
3-5 years of experience handling data sets and building statistical/machine learning models
Excellent understanding of machine leaning techniques (clustering, decision tree learning, neural networks, etc.), the natural language processing techniques, and their real-world advantages/drawbacks.
Knowledge of advanced statistical techniques and concepts (regression, properties of distributions, statistical tests and proper usage, etc.) and experience with applications.
Experience with cloud computing is preferred, such as Microsoft Azure.
Experience using common data science toolkits (R, Python, SAS, etc.) to handle data and draw insights from large data sets. Excellence in at least one of these is highly desirable.
Proficiency in using query languages such as SQL.
Excellent written and verbal communication skills for coordinating across teams.
A drive to learn and master new technologies and techniques.

What's in it for you? Qualified employees will receive:
A competitive compensation and benefits program
An annual employee bonus program
Generous paid-time-off (PTO)
Ten paid holidays per year
Excellent 403(b) Saving Plan, providing up to 4% match and vesting after three years
Casual attire
A work-life balance and much more!

We're always looking for talented people to join our team! Qualified applicants are encouraged to apply now!

Equal Opportunity Employer/Protected Veterans/Individuals with Disabilities
The contractor will not discharge or in any other manner discriminate against employees or applicants because they have inquired about, discussed, or disclosed their own pay or the pay of another employee or applicant. However, employees who have access to the compensation information of other employees or applicants as a part of their essential job functions cannot disclose the pay of other employees or applicants to individuals who do not otherwise have access to compensation information, unless the disclosure is (a) in response to a formal complaint or charge, (b) in furtherance of an investigation, proceeding, hearing, or action, including an investigation conducted by the employer, or (c) consistent with the contractor’s legal duty to furnish information. 41 CFR 60-1.35(c)",2.3,"SCAN Group
2.3","Long Beach, CA","Long Beach, CA",501 to 1000 Employees,-1,Company - Private,-1,-1,Less than $1 million (USD),-1
"Senior Data Scientist , Advanced Analytics",$123K - $199K (Glassdoor est.),"Senior Data Scientist
Raytheon Missiles & Defense (RMD)
Digital Technology, Advanced Analytics
Andover, MA

Are you a self-driven problem solver and continuous learner with a passion for data, applied statistics, machine learning, programming and visualization? If so, you might be interested in the opportunity to join RMD’s Digital Technology Advanced Analytics team as a Data Scientist.

RMD seeks an entrepreneurial analyst capable of working across functional areas with minimal supervision in order to support the application of data science / software engineering methods and techniques for production scale internal use and external research. The successful candidate will work with stakeholders and the Advanced Analytics team to develop analytic products for agile delivery. Products will span manufacturing, engineering, business development, supply chain, and quality control functions.

At RMD, we work together as one global team creating trusted, innovative solutions to make the world a safer place. Our innovation spans all domains: from land and sea to air, space and cyberspace. We’re inspired by a noble mission that’s shared by RMD employees around the globe and an inclusive culture that empowers employees and celebrates their contributions.

This role will be based in Andover, MA. Please note that limited capped budget relocation support will be provided to the selected applicant if they are eligible per company policy. The amount will be discussed at the appropriate stage of our process.

Required Skills:
Demonstrated experience meeting with business stakeholders to identify and develop requirements for strategic use cases and research and development opportunities
Specific use and application of Python (numpy, scipy, pandas, scikit-image, and scikit-learn) to statistical and/or machine learning applications beyond academic examples
Effectively communicate statistical/mathematical techniques to non-technical audiences and senior leadership
Collaborate with data owners and technology teams to source data sets required for analyses
Apply quantitative techniques (normalization, applied statistics) to cleanse and explore large, complex data sets in preparation for further analysis
Apply data reduction, feature selection, and feature engineering techniques
Develop and implement hypothesis tests
Review, enhance, and quality assure operationalized algorithms and models
Iterate on and/or create repeatable, reusable processes and scalable data products with the advanced analytics team
Maintain contemporary expertise on new data science methods, technologies, industry trends and open source packages
Eligibility to obtain a US Govt. Dept. of Defense Secret Clearance as necessary for future projects that require it. Except in rare cases, only US Citizens are eligible to obtain US Clearances.
Desired Skills:
Proficiency with at least one deep learning framework such as PyTorch, TensorFlow, Keras, Theano or Caffe
It is important that candidates demonstrate the ability to articulate application of said skills to business results rather than purely academic endeavors.
Familiarity with CNN architectures such as ResNet, Inception, XCeption, NASNet, VGG, UNet, Stacked Hourglass, MobileNet, pix2pix, and CycleGAN
Experience with data visualization applications such as Tableau, Microsoft PowerBI, SAP Lumira, etc.
Ability and eagerness to learn, educate and mentor others
Experience in diverse domains (manufacturing operations, supply chain, finance, engineering, information technology, business development, quality control)
Experience with commercial software development processes: good software hygiene regarding code documentation, unit testing, bug tracking and version control
Familiarity deploying machine learning models in public cloud services such as AWS, Azure, or Google Cloud Platform
Track record of GPU programming, network optimization and deployment for data science applications
Required Education (including Major):
Bachelor’s or higher degree in Statistics, Econometrics, Engineering, Computer Science, Finance, Mathematics or a quantitative degree in other social science or hard science fields

This position requires either a U.S. Person or a Non-U.S. Person who is eligible to obtain any required Export Authorization and required US Security Clearance.
166749
Raytheon Technologies is an Equal Opportunity/Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to race, age, color, religion, creed, sex, sexual orientation, gender identity, national origin, disability, or protected Veteran status.",3.8,"Raytheon Missiles & Defense
3.8","Andover, MA","Andover, MA",10000+ Employees,2020,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),-1
Data Scientist,$87K - $142K (Glassdoor est.),"At Farm Credit Mid-America, we believe people are our strongest asset. We are consistently looking to hire individuals from a wide range of experience and capabilities who have a desire to serve. Currently, we have over 1,400 employees across Indiana, Ohio, Kentucky and Tennessee.
BASIC FUNCTION : The Data Scientist focuses on using advanced analytics in support of the Association’s strategic objectives. This position is responsible for performing sophisticated data analytics (encompassing data mining, statistical analysis, predictive analytics, for example), and developing, documenting and supporting the deployment of quantitative models and other analytics tools. Identifies actionable insights from data that measurably improve business outcomes and/or reduce risk. Collects and prepares data for analysis, performs exploratory to advanced predictive and/or modeling analytics, and identifies data relationships (patterns and trends). Provides consultation to business leaders and other stakeholders on how to leverage analytic insights to build actionable strategies. Projects may include but not be limited to: automated credit decisioning, risk rating models, loan performance forecasting and analytics and model validation.
MAJOR RESPONSIBILITIES :
QUANTITATIVE MODELING: Participate in the design, implementation and maintenance of automated credit decisioning and loss forecasting models. For deployed models, develop and execute ongoing model validation processes in accordance with Farm Credit Mid-America Model Risk Management and Model Governance policies and industry best practices.
SPECIALIZED AND ADVANCED ANALYSIS: Applies advanced analytical skills and experience to research complex topics, design analysis methodologies, and apply problem solving skills in performing ad hoc analysis projects.
CREDIT & RISK EXPERTISE: Continually build expertise in agricultural and consumer credit, finance and technology to support being an active partner and risk management resource for the Credit Department and other departments across the Association.
COLLABORATION: Represent the Risk Management department on applicable Association committees, workgroups or project teams. Coordinate with other Farm Credit System (FCS) institutions and FCS workgroups as applicable.
Corporate mission and values: Embraces and represents the mission and values of Farm Credit Mid-America and complies with its conduct, security and confidentiality policies and procedures.
OTHER DUTIES: Performs other duties as assigned.
MINIMUM REQUIREMENTS and GRADING GUIDELINES

Education and Experience
Bachelor’s degree in statistics, mathematics, finance, economics, or related fields. Advanced degree or in analytics field, certifications in analytics, or Charter Financial Analyst designation preferred. Five or more years of progressively-responsible experience in risk management, credit, finance, or data science with at least one year of experience in credit risk modeling or equivalent.

KNOWLEDGE, SKILLS AND ABILITIES :
Knowledge of: Statistical methods, time-series analysis, machine learning, and programming; principles, policies and practices applicable to agricultural and residential lending; critical economic, political and industry issues; loan origination and accounting systems; and business automation and relational databases.
Skills in: Business computer applications; advanced data analysis and validation; data science; computer-based modeling and validation; problem solving; decision making; verbal and written communication; interpersonal skills; tact and diplomacy; mediating and influencing solutions to problems; and relevant software such as SQL, VBA, R and SAS.
Ability to: Be innovative and creative balanced with logic and objectivity; positively influence others; and exercise sound judgment. Be flexible, efficient, disciplined and accurate; work with interruptions; work independently; achieve goals; accept and implement corporate strategies; demonstrate corporate values; relate positively to others; listen; work under stress; overcome objections; and professionally represent Farm Credit Mid-America. Conduct increasingly advanced computer analysis in analyzing and developing solutions to complex issues and risks; aggressively leverage technology; and thoughtfully evaluate, accept and manage balanced business risks.
MENTAL AND PHYSICAL REQUIREMENTS :
This job requires the incumbent to have the ability to…
Engage in telephone and face-to-face conversation to serve customers and give and receive information from customers, staff, vendors, outside consultants and the public.
Use computer. This involves reading the screen and keying/typing information.
Speak and make presentations to individuals or groups on technical subjects related to job.
Travel via auto or commercial transportation to carry out essential responsibilities of the job.
Successfully interact with and represent the organization to customers, staff, officers, board members, vendors, and/or the public at all levels.
Provide sound technical advice to customers and other staff in the subject field(s) related to this position.
Understand and explain various subject matter and consulting concepts, programs, terminology, and methods.
Reason, judge, compare, calculate, evaluate, decide, and critique such information as written material, numerical data, responses to customer needs, and/or other related work activities.
Requirements of the job include the ability to do the work, with or without reasonable accommodations. It is the Association's policy to make reasonable accommodations for individuals with disabilities. Leadership retains the right to add, subtract or change duties of the position at any time.
This document does not create an employment contact, implied or otherwise, other than an “at will” employment relationship.
We are proud to be an EEO/AA employer M/F/D/V.
Here's What We Can Offer You...
Farm Credit Mid-America has an outstanding Total Rewards package, which includes, but is not limited to:
Salary commensurate with experience
15 vacation days, 15 sick days, and 11 paid holidays per year
401(k) plan with outstanding match
Medical, Dental, Vision, STD, LTD, Life/AD&D benefits, etc.
Fitness Incentive Program
Tuition assistance for employee and dependents
IND123
Farm Credit Mid-America is an Equal Opportunity Employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, veteran status, disability or any other category protected by law.",4.1,"Farm Credit Mid-America
4.1","Louisville, KY","Louisville, KY",1001 to 5000 Employees,1985,Company - Private,Lending,Finance,$100 to $500 million (USD),-1
"PhD Cancer Biology Scientist, Oncology Drug Discovery",$43K - $84K (Glassdoor est.),"1 purpose...to reimagine medicine! Novartis Institutes for BioMedical Research is seeking a candidate with a strong background in chromatin biology and epigenetics to join our small molecule drug discovery group in the Oncology Disease Area (DA) in Cambridge MA. The successful candidate will play a key role in the development of new therapies for cancer through critically contributing to projects within a dynamic and multi-disciplinary team of scientists. This position is ideal for those candidates seeking to utilize their expertise through experimental contributions at the bench while leading and overseeing biological investigations for drug discovery projects.

Key to success will be the ability to initiate, execute and independently lead new lines of investigation as well as manage, coach, motivate and communicate within a complex multidisciplinary environment.




Desirable Requirements:
Successful candidates will have a BS/MS and/or PhD in the life sciences and a comprehensive, in-depth knowledge of oncology research with at least 5 years of experience including in the area of chromatin, transcription & epigenetics. Industry experience is highly desired.

Thorough familiarity and demonstrated experience with a diversity of skills in cell, molecular biology and genetics including CRISPR based manipulation & engineering of mammalian cell systems, pooled genetic screens, next generation sequencing technologies, Chromatin Immunoprecipitation (ChIP) and ATAC-Seq, and working knowledge of data processing downstream of these techniques in order to interface with computational biologists.

Also required:
Detail-oriented, self-motivated and scientifically driven, proficient reasoning skills in experimental design, data analysis and interpretation
Critical problem solving abilities and a motivated self-starter with the ability to work in a fast-paced team oriented environment
At least 1-2 years of direct management experience
Excellent communication and interpersonal skills, including the ability to provide timely and open feedback
Demonstrated ability to present experimental data to diverse audiences such as project teams and executive boards

Why consider Novartis?
799 million. That’s how many lives our products touched in 2019. And while we’re proud of that fact, in this world of digital and technological transformation, we must also ask ourselves this: how can we continue to improve and extend even more people’s lives?

We believe the answers are found when curious, courageous and collaborative people like you are brought together in an inspiring environment. Where you’re given opportunities to explore the power of digital and data. Where you’re empowered to risk failure by taking smart risks, and where you’re surrounded by people who share your determination to tackle the world’s toughest medical challenges.

Imagine what you could do at Novartis!

The Novartis Group of Companies are Equal Opportunity Employers and take pride in maintaining a diverse environment. We do not discriminate in recruitment, hiring, training, promotion or other employment practices for reasons of race, color, religion, gender, national origin, age, sexual orientation, gender identity or expression, marital or veteran status, disability, or any other legally protected status. We are committed to building diverse teams, representative of the patients and communities we serve, and we strive to create an inclusive workplace that cultivates bold innovation through collaboration and empowers our people to unleash their full potential.",4.1,"Novartis
4.1","Cambridge, MA","Cambridge, MA",10000+ Employees,1996,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),-1
Senior Scientist - Bispecific Antibodies,$88K - $167K (Glassdoor est.),"At AstraZeneca, we put patients first and strive to meet their unmet needs worldwide. Working here means being entrepreneurial, thinking big and working together to make the impossible a reality. If you are swift to action, confident to lead, willing to collaborate, and curious about what science can do, then you’re our kind of person.
About AstraZeneca in Gaithersburg, MD
Our Gaithersburg, Maryland facility creates life-changing medicines for people around the world. This campus employs more than 3,500 experts in our field and is only a short drive from Washington, DC. This modern and vibrant scientific campus is the home of R&D and Oncology in the US. Here, we play host to some of the most cutting-edge technology and lab spaces, all designed to inspire collaboration and cross-functional science. We believe employees benefit from being challenged and inspired at work. We are dedicated to creating a culture of inclusion and collaboration.
The Gaithersburg site offers a variety of amenities to help boost productivity and help keep our employees happy and healthy. This includes a fitness center, employee healthcare clinic, electric vehicle charging stations, dry cleaning, full-service cafeteria and copy center. This is where you’ll find newly-designed, activity-based work spaces to suit a variety of working styles while increasing collaboration between teams.
Summary of the Group
Antibody Discovery & Protein Engineering (ADPE) is responsible for the discovery and optimization of next generation biologics to create biological drug candidates for all key therapeutic areas such as oncology, respiratory and inflammation, cardiovascular, renal and metabolic diseases. We're constantly pushing the boundaries of science to deliver life-changing medicines to patients, with a passion for the development of in-house biologics discovery platforms and novel drug modalities to address unmet medical needs.
Main Duties & Responsibilities
Seeking a skilled and highly motivated Scientist to enhance our bispecific antibody-based platform technology efforts. The successful candidate will be excited by research at the interface where innovative technology meets Biology.
Collaborate and work with a diverse group of scientists across all therapeutic areas to ensure timely progress in research projects and drive technological innovations
Conceive, design, and execute the engineering of innovative bispecific antibodies with improved selectivity and developability
Biochemical, biophysical and functional characterization of antibodies and bispecific modalities
Prepare, analyze, and present data internally and externally
Education & Experience Requirements
PhD in Biotechnology, Molecular Biology, Biochemistry or other relevant scientific field with 5+ years of post-doctoral experience in antibody engineering and/or bispecific design.
Required Skills
Extensive hands-on experience in molecular biology and antibody engineering, including; design, expression, purification and biochemical/biophysical characterization of various bispecific antibody formats
Proven ability to work independently, effectively plan and organize work activities and prioritize task completion to meet project deadlines
Deep understanding of various imaging/multicolor flow cytometry-based instruments and data analysis programs
Comprehensive experience in tissue culture techniques and functional cell-based assay development
Demonstrated experience in optimizing/troubleshooting protocols with a problem-solving mindset
Track record of scientific innovation as evidenced by scientific publications, patents and oral presentations at conferences
Desired Skills
Understanding of protein structure-function relationships and antibody structural remodeling
Experience in engineering antibodies with improved properties (e.g., affinity, solubility, and other attributes related to developability)
Background in antibody discovery using one of several display-based technologies
Working knowledge of automation and high-throughput screening from bacterial or mammalian expression systems
Experience in immunocytokine and T-cell engager
Excellent written and verbal communication skills and effective presentation of complex scientific data to cross-functional and senior management
Why AstraZeneca
At AstraZeneca when we see an opportunity for change, we seize it and make it happen, because any opportunity no matter how small, can be the start of something big. Delivering life-changing medicines is about being entrepreneurial - finding those moments and recognising their potential. Join us on our journey of building a new kind of organisation to reset expectations of what a bio-pharmaceutical company can be. This means we’re opening new ways to work, pioneering cutting edge methods and bringing unexpected teams together. Interested? Come and join our journey.
So, what’s next
Are you ready to bring new ideas and fresh thinking to the table? Brilliant! We have one seat available and we hope it’s yours.
Where can I find out more?
Check out our landing page for more information on our BPD group https://careers.astrazeneca.com/bpd
Our Social Media, Follow AstraZeneca on LinkedIn https://www.linkedin.com/company/1603/
Follow AstraZeneca on Facebook https://www.facebook.com/astrazenecacareers/
Follow AstraZeneca on Instagram https://www.instagram.com/astrazeneca_careers/?hl=en",4.2,"AstraZeneca
4.2","Gaithersburg, MD","Gaithersburg, MD",10000+ Employees,1913,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),-1
Lead Data Scientist,$94K - $155K (Glassdoor est.),"Description
The Lead Data Scientist uses mathematics, statistics, modeling, business analysis, and technology to transform high volumes of complex data into advanced analytic solutions. The Lead Data Scientist works on problems of diverse scope and complexity ranging from moderate to substantial.
Responsibilities
The Lead Data Scientist develops, maintains, and collects structured and unstructured data sets for analysis and reporting. Creates reports, projections, models, and presentations to support business strategy and tactics. Advises executives to develop functional strategies (often segment specific) on matters of significance. Exercises independent judgment and decision making on complex issues regarding job duties and related tasks, and works under minimal supervision, Uses independent judgment requiring analysis of variable factors and determining the best course of action.
Work closely with AI Implementation Lead to understand the key business feedback and implement in models when necessary
Ability to work within other workstreams in an overflow capacity

Required Qualifications
PhD + 2 years’ experience, Master’s Degree + 4 years’ experience OR Bachelor’s Degree + 6 years’ experience.
Data Analytics, Computer Science or related quantitative program.
2+ years’ experience in project, process or people leadership
Experience in using mathematics, statistics, modeling, business analysis, and technology to transform high volumes of complex data into advanced analytic solutions
Successful demonstrated experience in working on problems of diverse scope and complexity ranging from moderate to substantial
Experience in developing, maintaining, and collecting structured and unstructured data sets for analysis and reporting
Experience in creating reports, projections, models, and presentations to support business
Ability to exercise independent judgment and decision making on complex issues regarding job duties and related tasks
Ability to works under minimal supervision, using independent judgment
Must be passionate about contributing to an organization focused on continuously improving consumer experiences
Preferred Qualifications
PhD
Additional Information
Scheduled Weekly Hours
40",3.9,"Humana
3.9","Boston, MA","Boston, MA",10000+ Employees,1961,Company - Public,Insurance Carriers,Insurance,$10+ billion (USD),-1
Data Engineer,-1,"Duties and Responsibilities
1. Create and maintain optimal data pipeline architecture.
2. Assemble large, complex data sets that meet functional / non-functional business requirements.
3. Identify, design, and implement internal process improvements: automating manual processes, optimizing data delivery, re-designing infrastructure for greater scalability, etc.
4. Build the infrastructure required for optimal extraction, transformation, and loading of data from a wide variety of data sources using SQL and Azure ‘big data’ technologies.
5. Build analytics tools that utilize the data pipeline to provide actionable insights into customer acquisition, operational efficiency, and other key business performance metrics.
6. Work with stakeholders including the Executive, Product, Data and Design teams to assist with data-related technical issues and support their data infrastructure needs.
7. Keep our data separated and secure across national boundaries through multiple data centers and Azure regions.
8. Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.
9. Work with data and analytics experts to strive for greater functionality in our data systems.
Qualifications:
Ideal candidate must be an individual who possess the following skills:
· Advanced working SQL knowledge and experience working with relational databases, query authoring (SQL) as well as working familiarity with a variety of databases.
· Experience building and optimizing ‘big data’ data pipelines, architectures and data sets.
· Experience performing root cause analysis on internal and external data and processes to answer specific business questions and identify opportunities for improvement.
· Strong analytic skills related to working with unstructured datasets.
· Build processes supporting data transformation, data structures, metadata, dependency and workload management.
· A successful history of manipulating, processing and extracting value from large, disconnected datasets.
· Working knowledge of message queuing, stream processing, and highly scalable ‘big data’ data stores.
· Strong project management and organizational skills.
· Experience supporting and working with cross-functional teams in a dynamic environment.
We are looking for a candidate with 5+ years of experience in a Data Engineer role. They should also have experience using the following software/tools:
· Experience with big data tools: Hadoop, Spark, Kafka, etc.
· Experience with relational SQL and NoSQL databases.
· Experience with data pipeline and workflow management tools: Azkaban, Luigi, Airflow, etc.
· Experience with stream-processing systems: Storm, Spark-Streaming, etc.
· Experience with object-oriented/object function scripting languages: Python, R, Java, C++, Scala, etc.
Job Type: Full-time
Pay: $80,000.00 - $120,000.00 per year
Benefits:
401(k)
Dental insurance
Health insurance
Paid time off
Referral program
Vision insurance
Schedule:
Monday to Friday
Work Location:
Multiple locations
Visa Sponsorship Potentially Available:
No: Not providing sponsorship for this job
Company's website:
ApexGlobalUs.Com
Benefit Conditions:
Waiting period may apply
Only full-time employees eligible
Work Remotely:
No",-1,Apex Global Solutions,"Suffern, NY",-1,-1,-1,-1,-1,-1,-1,-1
Medical Lab Scientist,-1,"Job Description
Performs accurate and reliable analysis requiring a complex network of steps and variables. Recognizes technical, instrumental or physiological problems, identifies the cause and evaluates alternative solutions where no pre-set criteria are available. Confirms and verifies laboratory results utilizing in-depth knowledge of techniques, principles and instruments. Correlates and interprets data based on knowledge of physiological conditions affecting test results. Establishes and monitors quality assurance programs. Participates in establishing and monitoring performance improvement programs
Job Requirements
Applicable Experience:
Less than 1 year
Cert Laboratory Assistant (ASCP) - American Society for Clinical Pathology
Bachelor's Degree (Required)
Job Details
Full time
Night (United States of America)
""The best place to get care. The best place to give care."" That is the Saint Luke's vision and, whether in a hospital, clinic, practice, or office, our more than 12,000 employees strive toward that vision every day. Saint Luke's employees are proud of our rich history and heritage, and that we remain the only faith-based, nonprofit, locally owned health system in Kansas City. Joining Saint Luke's means joining a team of exceptional professionals who always strive for excellence in patient care. Take this opportunity to do the best work of your career within a highly diverse and inclusive work space where all voices matter.
Join the Kansas City region's premiere provider of health services. Equal Opportunity Employer. We hire only non-tobacco users.",4.0,"Saint Lukes
4.0","Overland Park, KS","Overland Park, KS",51 to 200 Employees,1926,Company - Private,Preschool & Child Care,Education,$25 to $50 million (USD),-1
